SpeName,Guild,InitBiomass,InitBiomassMin,InitBiomassMax,GrowthRate,GrowthRateMin,GrowthRateMax,GrowthRateCovarCoeff,SpeciesK,SpeciesKMin,SpeciesKMax,SpeciesKCovarCoeff,SurveyQ,SurveyQMin,SurveyQMax,Catchability,CatchabilityMin,CatchabilityMax
Blue_whiting,Pred,5166304.730000,3616413.311000,6716196.149000,0.448,0.09,0.806,,9752144.047000,6800000.000000,13653001.666000,0.000000,,,,,,
Capelin,Prey,3464655.100000,2425258.572000,4504051.635000,0.596,0.119,1.072,,5044616.404000,4600000.000000,7062462.966000,0.000000,,,,,,
Green_halibut,Pred,1164030.540000,814821.380000,1400000.000000,0.144,0.029,0.26,,1495795.403000,1410000.000000,2094113.565000,0.000000,,,,,,
Haddock,Pred,87236.660000,61065.664000,113407.662000,0.36,0.072,0.648,,1448890.401000,869334.241000,2028446.562000,0.000000,,,,,,
Long_rough_dab,Pred,1167281.360000,817096.953000,1517465.770000,0.073,0.015,0.131,,1644011.407000,1520000.000000,2301615.970000,0.000000,,,,,,
Mackerel,Prey,4957968.290000,3470577.800000,5400000.000000,0.275,0.055,0.495,,5566582.588000,5500000.000000,7793215.623000,0.000000,,,,,,
North_atl_cod,Pred,3258303.010000,2280812.104000,4235793.908000,1.132,0.226,2.037,,6985241.074000,4300000.000000,9779337.504000,0.000000,,,,,,
Norwegian_ssh,Prey,2240469.930000,1568328.950000,2912610.907000,0.287,0.057,0.516,,3587661.328000,3000000.000000,5022725.859000,0.000000,,,,,,
Polar_cod,Prey,2221587.180000,1555111.026000,2888063.333000,0.088,0.018,0.158,,4484730.048000,2900000.000000,6278622.067000,0.000000,,,,,,
Redfish,Pred,2106148.610000,1474304.029000,2737993.196000,0.201,0.04,0.361,,3705772.868000,2800000.000000,5188082.015000,0.000000,,,,,,
Saithe,Pred,2827345.800000,1979142.058000,3675549.536000,0.164,0.033,0.295,,16793363.768000,10076018.261000,23510709.276000,0.000000,,,,,,
