"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"Blue_whiting",0,0,0,0,0,0,0,0,0,0,0
"Capelin",0,0,0,0,0,0,0,0,0,0,0
"Green_halibut",0.507114249861854,0,0,0,0,0,0,0,0,0,0
"Haddock",0.450488165036863,0,0.300513379803375,0,0,0,0,0,0,0,0
"Long_rough_dab",0.534625204124197,0,0.107460778694886,0.89631256059264,0,0,0,0,0,0,0
"Mackerel",0,0,0,0,0,0,0,0,0,0,0
"North_atl_cod",0.541919299469052,0,0.00287126977389161,0.833944391334448,0.987361415827777,0,0,0,0,0,0
"Norwegian_ssh",0.541676831198981,0,0,0.83094546832019,0.986851448776004,0,0.999772888473613,0,0,0,0
"Polar_cod",0,0,0,0,0,0,0,0,0,0,0
"Redfish",0,0,0.324207733370962,0.0402479739521825,0.016682815653247,0,0.000884700408193249,0,0,0,0
"Saithe",0.460933361579605,0,0.238880721745932,0.990094376140094,0.906250143039955,0,0.851380966536987,0.850191429623219,0,0.0299581607587771,0
