"prey","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"Blue_whiting",0,0,0.0022882270439127,0,0,0,4.10219116268975e-05,0,0,0.022011956330064,0
"Capelin",0.0318228019868959,0,0,0.0168823077594034,0.0254138130066342,0,0.324200215857866,0.00375285897465977,0,0,0.00673796408935237
"Green_halibut",0,0,0,0,0,0,0.00211934000600848,0,0,0,0
"Haddock",0,0,0,7.76081939088359e-07,0,0,0.00254397656426142,0,0,0.000925911164827155,0.000259199718839152
"Long_rough_dab",0,0,0,0.00204092430927303,0,0,0.00579501000503434,0,0,0,0
"Mackerel",0,0,0.000386077359144909,0,0,0,0,0,0,0,0
"North_atl_cod",0,0,0.00748904107198385,0.00616585964234143,0.00323962588526378,0,0.00105976066866044,0,0,0.00295275859426251,0.00170905759899964
"Norwegian_ssh",4.95771675620935e-05,0,0.00163526717408016,0.00925118491700377,0.00215563825090983,0,0.000285103027325303,0,0,0,0.00379750910934667
"Polar_cod",0,0,0,0,0.00147759711234757,0,0.00140936834161757,0,0,0,0
"Redfish",0.0493833464297193,0,0.00605585179736724,0,0,0,0.000140708961623493,0,0,0,0
"Saithe",0,0,0,0,0,0,0,0,0,0.00128721201706826,0
