,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder
Atlantic cod,6e-07,-1e-08,0,2e-07,5e-08,0,5e-09,0,0,0
Atlantic herring,6e-07,2e-07,5e-08,3.5e-07,0,0,2.5e-07,9e-07,2.5e-09,0
Atlantic mackerel,1e-07,2e-07,1e-06,3e-07,0,0,6e-08,1.5e-07,1e-08,0
Goosefish,0,0,0,1e-06,0,0,0,0,0,0
Haddock,2e-07,0,0,0,4e-07,0,0,0,0,0
Silver hake,5e-08,0,0,1e-07,0,1e-06,7e-08,8e-08,2e-08,0
Spiny dogfish,0,-1e-07,0,0,0,0,7.5e-07,0,1e-08,0
Summer flounder,0,-3e-08,0,0,0,0,0,5.9e-07,0,0
Winter skate,0,-1e-07,0,0,0,0,2e-08,0,5e-07,0
Yellowtail flounder,0,0,0,0,0,0,0,0,0,1.5e-06
