"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"Blue_whiting",0,0,2.14931034672169e-10,0,0,0,3.85314994578648e-12,0,0,2.06756255318507e-09,0
"Capelin",2.98908614658959e-09,0,0,1.58573944138779e-09,2.38709578186828e-09,0,3.0451824271827e-08,3.52502547571994e-10,0,0,6.32890690266519e-10
"Green_halibut",0,0,0,0,0,0,1.99067632525937e-10,0,0,0,0
"Haddock",0,0,0,7.28966535914293e-14,0,0,2.3895334887901e-10,0,0,8.69699731939739e-11,2.4346388137068e-11
"Long_rough_dab",0,0,0,1.91702119178507e-10,0,0,5.44319891520835e-10,0,0,0,0
"Mackerel",0,0,3.62638867000821e-11,0,0,0,0,0,0,0,0
"North_atl_cod",0,0,7.03438651590934e-10,5.7915345249384e-10,3.04295041579384e-10,0,9.95423324035967e-11,0,0,2.77349864162428e-10,1.60530188227834e-10
"Norwegian_ssh",4.65673716626294e-12,0,1.53599122353478e-10,8.68955181455781e-10,2.02477092856451e-10,0,2.67794617733453e-11,0,0,0,3.56696493129991e-10
"Polar_cod",0,0,0,0,1.38789320330045e-10,0,1.32380655452834e-10,0,0,0,0
"Redfish",4.63853172785011e-09,0,5.68820518091523e-10,0,0,0,1.32166616900354e-11,0,0,0,0
"Saithe",0,0,0,0,0,0,0,0,0,1.20906625680753e-10,0
